Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost,Baseline bandwidth (Mbps),Maximum bandwidth (Mbps),"Baseline throughput (MB/s, 128 KiB I/O)","Maximum throughput (MB/s, 128 KiB I/O)",Baseline IOPS (16 KiB I/O),Maximum IOPS (16 KiB I/O)
T4G Nano,t4g.nano,0.5 GiB,2 vCPUs                                                         for a                   1h 12m                   burst,EBS only,Up to 5 Gigabit,$0.0043 hourly,$0.0027 hourly,$0.0011 hourly,unavailable,unavailable,43.00,2085.00,5.38,260.62,250.00,11800.00
T3 Nano,t3.nano,0.5 GiB,2 vCPUs                                                         for a                   1h 12m                   burst,EBS only,Up to 5 Gigabit,$0.0054 hourly,$0.0034 hourly,$0.0016 hourly,$0.0100 hourly,$0.0080 hourly,43.00,2085.00,5.38,260.62,250.00,11800.00
T4G Micro,t4g.micro,1.0 GiB,2 vCPUs                                                         for a                   2h 24m                   burst,EBS only,Up to 5 Gigabit,$0.0086 hourly,$0.0054 hourly,$0.0024 hourly,unavailable,unavailable,87.00,2085.00,10.88,260.62,500.00,11800.00
T3 Micro,t3.micro,1.0 GiB,2 vCPUs                                                         for a                   2h 24m                   burst,EBS only,Up to 5 Gigabit,$0.0108 hourly,$0.0068 hourly,$0.0030 hourly,$0.0200 hourly,$0.0160 hourly,87.00,2085.00,10.88,260.62,500.00,11800.00
T4G Small,t4g.small,2.0 GiB,2 vCPUs                                                         for a                   4h 48m                   burst,EBS only,Up to 5 Gigabit,$0.0172 hourly,$0.0109 hourly,$0.0050 hourly,unavailable,unavailable,174.00,2085.00,21.75,260.62,1000.00,11800.00
T3 Small,t3.small,2.0 GiB,2 vCPUs                                                         for a                   4h 48m                   burst,EBS only,Up to 5 Gigabit,$0.0216 hourly,$0.0136 hourly,$0.0065 hourly,$0.0400 hourly,$0.0320 hourly,174.00,2085.00,21.75,260.62,1000.00,11800.00
T4G Medium,t4g.medium,4.0 GiB,2 vCPUs                                                         for a                   4h 48m                   burst,EBS only,Up to 5 Gigabit,$0.0344 hourly,$0.0218 hourly,$0.0108 hourly,unavailable,unavailable,347.00,2085.00,43.38,260.62,2000.00,11800.00
C6G Medium,c6g.medium,2.0 GiB,1 vCPUs,EBS only,Up to 10 Gigabit,$0.0365 hourly,$0.0231 hourly,$0.0114 hourly,unavailable,unavailable,315.00,4750.00,39.38,593.75,2500.00,20000.00
C7G Medium,c7g.medium,2.0 GiB,1 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0387 hourly,$0.0256 hourly,$0.0108 hourly,unavailable,unavailable,315.00,10000.00,39.38,1250.00,2500.00,40000.00
M6G Medium,m6g.medium,4.0 GiB,1 vCPUs,EBS only,Up to 10 Gigabit,$0.0410 hourly,$0.0257 hourly,$0.0119 hourly,unavailable,unavailable,315.00,4750.00,39.38,593.75,2500.00,20000.00
C6GD Medium,c6gd.medium,2.0 GiB,1 vCPUs,59 GB                 NVMe SSD,Up to 10 Gigabit,$0.0416 hourly,$0.0262 hourly,$0.0118 hourly,unavailable,unavailable,315.00,4750.00,39.38,593.75,2500.00,20000.00
T3 Medium,t3.medium,4.0 GiB,2 vCPUs                                                         for a                   4h 48m                   burst,EBS only,Up to 5 Gigabit,$0.0432 hourly,$0.0272 hourly,$0.0135 hourly,$0.0616 hourly,$0.0456 hourly,347.00,2085.00,43.38,260.62,2000.00,11800.00
M7G Medium,m7g.medium,4.0 GiB,1 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0434 hourly,$0.0287 hourly,$0.0117 hourly,unavailable,unavailable,315.00,10000.00,39.38,1250.00,2500.00,40000.00
C6GN Medium,c6gn.medium,2.0 GiB,1 vCPUs,EBS only,Up to 16 Gigabit,$0.0465 hourly,$0.0294 hourly,$0.0128 hourly,unavailable,unavailable,760.00,9500.00,95.00,1187.50,2500.00,40000.00
M6GD Medium,m6gd.medium,4.0 GiB,1 vCPUs,59 GB                 NVMe SSD,Up to 10 Gigabit,$0.0480 hourly,$0.0305 hourly,$0.0132 hourly,unavailable,unavailable,315.00,4750.00,39.38,593.75,2500.00,20000.00
C7GD Medium,c7gd.medium,2.0 GiB,1 vCPUs,59 GB                 NVMe SSD,Up to 12.5 Gigabit,$0.0491 hourly,$0.0310 hourly,$0.0137 hourly,unavailable,unavailable,315.00,10000.00,39.38,1250.00,2500.00,40000.00
