"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","EBS Optimized: Baseline Bandwidth","EBS Optimized: Baseline Throughput (128K)","EBS Optimized: Baseline IOPS (16K)","EBS Optimized: Max Bandwidth","EBS Optimized: Max Throughput (128K)","EBS Optimized: Max IOPS (16K)","On Demand","Linux Reserved cost","Linux Spot Minimum cost"
"D3EN 12xlarge","d3en.12xlarge","192.0 GiB","48 vCPUs","335520 GB                 (24 * 13980 GB NVMe HDD)","75 Gigabit","7000 Mbps","875.0 MB/s","40000 IOPS","7000 Mbps","875.0 MB/s","40000 IOPS","$4605.3072 monthly","$2901.3412 monthly","$606.8490 monthly"
"D3EN Eight Extra Large","d3en.8xlarge","128.0 GiB","32 vCPUs","223680 GB                 (16 * 13980 GB NVMe HDD)","50 Gigabit","5000 Mbps","625.0 MB/s","30000 IOPS","5000 Mbps","625.0 MB/s","30000 IOPS","$3070.2048 monthly","$1934.2299 monthly","$922.5740 monthly"
"D3EN 6xlarge","d3en.6xlarge","96.0 GiB","24 vCPUs","167760 GB                 (12 * 13980 GB NVMe HDD)","40 Gigabit","4000 Mbps","500.0 MB/s","25000 IOPS","4000 Mbps","500.0 MB/s","25000 IOPS","$2302.4200 monthly","$1450.5100 monthly","$643.7870 monthly"
"D3EN Quadruple Extra Large","d3en.4xlarge","64.0 GiB","16 vCPUs","111840 GB                 (8 * 13980 GB NVMe HDD)","25 Gigabit","2800 Mbps","350.0 MB/s","15000 IOPS","2800 Mbps","350.0 MB/s","15000 IOPS","$1535.1900 monthly","$967.2500 monthly","$475.2300 monthly"
"I3EN 24xlarge","i3en.24xlarge","768.0 GiB","96 vCPUs","60000 GB                 (8 * 7500 GB NVMe SSD)","100 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$7919.0400 monthly","$5393.2400 monthly","$1074.4140 monthly"
"I3EN Metal","i3en.metal","768.0 GiB","96 vCPUs","60000 GB                 (8 * 7500 GB NVMe SSD)","100 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$7919.0400 monthly","$5393.2400 monthly","$828.2580 monthly"
"D3EN Double Extra Large","d3en.2xlarge","32.0 GiB","8 vCPUs","55920 GB                 (4 * 13980 GB NVMe HDD)","Up to 25 Gigabit","1700 Mbps","212.5 MB/s","10000 IOPS","2800 Mbps","212.5 MB/s","15000 IOPS","$767.2300 monthly","$483.2600 monthly","$253.2370 monthly"
"D2 Eight Extra Large","d2.8xlarge","244.0 GiB","36 vCPUs","49152 GB                 (24 * 2048 GB HDD)","10 Gigabit","4000 Mbps","500.0 MB/s","32000 IOPS","4000 Mbps","500.0 MB/s","32000 IOPS","$4029.6000 monthly","$2347.6800 monthly","$1024.4820 monthly"
"D3 Eight Extra Large","d3.8xlarge","256.0 GiB","32 vCPUs","47520 GB                 (24 * 1980 GB NVMe HDD)","25 Gigabit","5000 Mbps","625.0 MB/s","30000 IOPS","5000 Mbps","625.0 MB/s","30000 IOPS","$2916.7296 monthly","$1837.5414 monthly","$891.0380 monthly"
"P5 48xlarge","p5.48xlarge","2048.0 GiB","192 vCPUs","30400 GB                 (8 * 3800 GB NVMe SSD)","3200 Gigabit","80000 Mbps","10000.0 MB/s","260000 IOPS","80000 Mbps","10000.0 MB/s","260000 IOPS","$71773.6000 monthly","unavailable","$33164.3380 monthly"
