Instance size,Baseline bandwidth (Mbps),Maximum bandwidth (Mbps),"Baseline throughput (MB/s, 128 KiB I/O)","Maximum throughput (MB/s, 128 KiB I/O)",Baseline IOPS (16 KiB I/O),Maximum IOPS (16 KiB I/O)
a1.medium,300.00,3500.00,37.50,437.50,2500.00,20000.00
a1.large,525.00,3500.00,65.62,437.50,4000.00,20000.00
a1.xlarge,800.00,3500.00,100.00,437.50,6000.00,20000.00
a1.2xlarge,1750.00,3500.00,218.75,437.50,10000.00,20000.00
m5.large,650.00,4750.00,81.25,593.75,3600.00,18750.00
m5.xlarge,1150.00,4750.00,143.75,593.75,6000.00,18750.00
m5.2xlarge,2300.00,4750.00,287.50,593.75,12000.00,18750.00
m5a.large,650.00,2880.00,81.25,360.00,3600.00,16000.00
m5a.xlarge,1085.00,2880.00,135.62,360.00,6000.00,16000.00
m5a.2xlarge,1580.00,2880.00,197.50,360.00,8333.00,16000.00
m5ad.large,650.00,2880.00,81.25,360.00,3600.00,16000.00
m5ad.xlarge,1085.00,2880.00,135.62,360.00,6000.00,16000.00
m5ad.2xlarge,1580.00,2880.00,197.50,360.00,8333.00,16000.00
m5d.large,650.00,4750.00,81.25,593.75,3600.00,18750.00
m5d.xlarge,1150.00,4750.00,143.75,593.75,6000.00,18750.00
m5d.2xlarge,2300.00,4750.00,287.50,593.75,12000.00,18750.00
m5dn.large,650.00,4750.00,81.25,593.75,3600.00,18750.00
m5dn.xlarge,1150.00,4750.00,143.75,593.75,6000.00,18750.00
m5dn.2xlarge,2300.00,4750.00,287.50,593.75,12000.00,18750.00
m5n.large,650.00,4750.00,81.25,593.75,3600.00,18750.00
m5n.xlarge,1150.00,4750.00,143.75,593.75,6000.00,18750.00
m5n.2xlarge,2300.00,4750.00,287.50,593.75,12000.00,18750.00
m5zn.large,800.00,3170.00,100.00,396.25,3333.00,13333.00
m5zn.xlarge,1564.00,3170.00,195.50,396.25,6667.00,13333.00
m6a.large,650.00,10000.00,81.25,1250.00,3600.00,40000.00
m6a.xlarge,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
m6a.2xlarge,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
m6a.4xlarge,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
m6g.medium,315.00,4750.00,39.38,593.75,2500.00,20000.00
m6g.large,630.00,4750.00,78.75,593.75,3600.00,20000.00
m6g.xlarge,1188.00,4750.00,148.50,593.75,6000.00,20000.00
m6g.2xlarge,2375.00,4750.00,296.88,593.75,12000.00,20000.00
m6gd.medium,315.00,4750.00,39.38,593.75,2500.00,20000.00
m6gd.large,630.00,4750.00,78.75,593.75,3600.00,20000.00
m6gd.xlarge,1188.00,4750.00,148.50,593.75,6000.00,20000.00
m6gd.2xlarge,2375.00,4750.00,296.88,593.75,12000.00,20000.00
m6i.large,650.00,10000.00,81.25,1250.00,3600.00,40000.00
m6i.xlarge,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
m6i.2xlarge,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
m6i.4xlarge,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
m6id.large,650.00,10000.00,81.25,1250.00,3600.00,40000.00
m6id.xlarge,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
m6id.2xlarge,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
m6id.4xlarge,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
m6idn.large,1562.00,25000.00,195.31,3125.00,6250.00,100000.00
m6idn.xlarge,3125.00,25000.00,390.62,3125.00,12500.00,100000.00
m6idn.2xlarge,6250.00,25000.00,781.25,3125.00,25000.00,100000.00
m6idn.4xlarge,12500.00,25000.00,1562.50,3125.00,50000.00,100000.00
m6in.large,1562.00,25000.00,195.31,3125.00,6250.00,100000.00
